Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc,
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,5/20/2016,6/20/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,2296,2296,,,,,,,32,120800,268,268,10652.93,890.3,"1,961.79",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,10652.93,130465.03,0,130465.03,141121.2,141121.2,1002375186,10656.17
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,6/21/2016,7/20/2016,6208095,,,,,,,,Large Lighting and Power,,,2616,,,,,,,,30,128000,246,246,10748.44,943.36,"1,950.72",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,10748.44,141121.2,0,141121.2,151872.88,151872.88,1002375187,10751.68
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,7/21/2016,8/18/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,2929,2929,,,,,,,29,125200,264,264,11025.72,922.72,"2,169.72",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,11025.72,151872.88,0,151872.88,162901.84,162901.84,1002375188,11028.96
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,8/19/2016,9/21/2016,6208095,,,,,,,,Large Lighting and Power,,,3269,,,,,,,,34,136000,240,240,11236.6,"1,002.32","2,125.68",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,11236.6,162901.84,0,162901.84,174141.68,174141.68,1002375189,11239.84
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,9/22/2016,10/20/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,3546,3546,,,,,,,29,110800,219,219,9267.35,816.6,"2,111.85",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9267.35,174141.68,0,174141.68,183412.27,183412.27,1002375190,9270.59
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,10/21/2016,11/17/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,3789,3789,,,,,,,28,97200,200,214,8099.25,716.36,"1,624.21",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8099.25,183412.27,0,183412.27,191514.76,191514.76,1002375191,8102.49
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,11/18/2016,12/20/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,4038,4038,,,,,,,33,99600,190,214,7803.13,734.05,"1,215.12",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7803.13,191514.76,0,191514.76,199321.13,199321.13,1002375192,7806.37
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,12/21/2016,1/20/2017,6208095,,,,,,,,Large Lighting and Power,,,4284,,,,,,,,31,98400,179,214,8111.83,725.21,"1,580.30",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8111.83,199321.13,0,199321.13,207436.2,207436.2,1002375193,8115.07
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,1/21/2017,2/17/2017,6208095,6208095,,,,,,,Large Lighting and Power,,,4520,4520,,,,,,,28,94400,209,214,8600.35,800.51,"2,152.32",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8600.35,207436.2,0,207436.2,216039.79,216039.79,1002375194,8603.59
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,2/18/2017,3/20/2017,6208095,6208095,,,,,,,Large Lighting and Power,,,4777,4787,,,,,,,31,106800,201,214,9185.73,905.66,"2,140.27",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9185.73,216039.79,0,216039.79,225228.76,225228.76,1002375195,9188.97
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,3/21/2017,4/19/2017,6208095,6208095,,,,,,,Large Lighting and Power,,,5049,5049,,,,,,,30,104800,218,218,9232.44,888.7,"2,251.10",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9232.44,225228.76,0,225228.76,234464.44,234464.44,1002375196,9235.68
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,4/20/2017,5/18/2017,6208095,,,,,,,,Large Lighting and Power,,,5314,,,,,,,,29,106000,218,218,9170.82,898.88,"2,131.66",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9170.82,234464.44,0,234464.44,243638.5,243638.5,1002375197,9174.06
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,5/19/2017,6/20/2017,6208095,,,,,,,,Large Lighting and Power,,,5635,,,,,,,,33,128400,246,246,11691.42,"1,088.83","2,732.35",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,11691.42,243638.5,0,243638.5,255333.16,255333.16,1002375198,11694.66
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,6/21/2017,7/20/2017,6208095,,,,,,,,Large Lighting and Power,,,5933,,,,,,,,30,119200,244,244,10760.69,"1,010.82","2,265.99",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,10760.69,255333.16,0,255333.16,266097.09,266097.09,1002375199,10763.93
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,7/21/2017,8/18/2017,6208095,,,,,,,,Large Lighting and Power,,,6265,,,,,,,,29,132800,284,284,12233.65,"1,126.14","2,661.31",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,12233.65,266097.09,0,266097.09,278333.98,278333.98,1002375200,12236.89
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,8/19/2017,9/20/2017,6208095,,,,,,,,Large Lighting and Power,,,6589,,,,,,,,33,129600,260,260,11494.94,"1,099.01","2,330.21",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,11494.94,278333.98,0,278333.98,289832.16,289832.16,1002375201,11498.18
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,9/21/2017,10/19/2017,6208095,,,,,,,,Large Lighting and Power,,,6847,,,,,,,,29,103200,224,227,8972.69,875.14,"1,995.89",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8972.69,289832.16,0,289832.16,298808.09,298808.09,1002375202,8975.93
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,10/20/2017,11/17/2017,6208095,,,,,,,,Large Lighting and Power,,,7071,,,,,,,,29,89600,196,227,7825.93,759.81,"1,504.38",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7825.93,298808.09,0,298808.09,306637.26,306637.26,1002375203,7829.17
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,11/18/2017,12/19/2017,6208095,,,,,,,,Large Lighting and Power,,,7295,,,,,,,,32,89600,184,227,7283.85,759.81,962.3,,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7283.85,306637.26,0,306637.26,313924.35,313924.35,1002375204,7287.09
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,12/20/2017,1/22/2018,6208095,,,,,,,,Large Lighting and Power,,,7552,,,,,,,,34,102800,188,227,8546.81,871.74,"1,589.29",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8546.81,313924.35,0,313924.35,322474.4,322474.4,1002375205,8550.05
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,1/23/2018,2/19/2018,6208095,,,,,,,,Large Lighting and Power,,,7772,,,,,,,,28,88000,184,227,8263.18,667.92,"2,097.04",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8263.18,322474.4,0,322474.4,330740.82,330740.82,1002375206,8266.42
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,2/20/2018,3/20/2018,6208095,,,,,,,,Large Lighting and Power,,,8008,,,,,,,,29,94400,196,227,8752.34,716.5,"2,283.54",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8752.34,330740.82,0,330740.82,339496.4,339496.4,1002375207,8755.58
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,3/21/2018,4/18/2018,6208095,,,,,,,,Large Lighting and Power,,,8265,,,,,,,,29,102800,220,227,9384.63,780.25,"2,518.60",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9384.63,339496.4,0,339496.4,348884.27,348884.27,1002375208,9387.87
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,4/19/2018,5/18/2018,6208095,,,,,,,,Large Lighting and Power,,,8545,,,,,,,,30,112000,240,240,9764.6,850.08,"2,358.72",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9764.6,348884.27,0,348884.27,358652.11,358652.11,1002375209,9767.84
